Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000002000,0.0000000000,0.0000001000
1,0.0000000000,0.0000001000,0.0000001000
2,0.0000010000,0.0000070000,0.0000005000
3,0.0000012000,0.0000010000,0.0000009000
4,0.0000017000,0.0000015000,0.0000013000
5,0.0000021000,0.0000012000,0.0000014000
6,0.0000015000,0.0000012000,0.0000011000
7,0.0000018000,0.0000015000,0.0000015000
8,0.0000021000,0.0000036000,0.0000034000
9,0.0000044000,0.0000040000,0.0000039000
10,0.0000031000,0.0000025000,0.0000027000
11,0.0000038000,0.0000032000,0.0000027000
12,0.0000033000,0.0000027000,0.0000028000
13,0.0000033000,0.0000031000,0.0000031000
14,0.0000038000,0.0000037000,0.0000035000
15,0.0000035000,0.0000032000,0.0000038000
16,0.0000039000,0.0000035000,0.0000039000
17,0.0000044000,0.0000052000,0.0000046000
18,0.0000045000,0.0000045000,0.0000079000
19,0.0000082000,0.0000080000,0.0000084000
20,0.0000076000,0.0000082000,0.0000088000
21,0.0000062000,0.0000054000,0.0000062000
22,0.0000061000,0.0000056000,0.0000063000
23,0.0000065000,0.0000056000,0.0000069000
24,0.0000108000,0.0000105000,0.0000120000
25,0.0000070000,0.0000068000,0.0000070000
26,0.0000068000,0.0000065000,0.0000072000
27,0.0000124000,0.0000119000,0.0000127000
28,0.0000123000,0.0000120000,0.0000093000
29,0.0000081000,0.0000074000,0.0000083000
30,0.0000084000,0.0000076000,0.0000083000
31,0.0000093000,0.0000068000,0.0000080000
32,0.0000072000,0.0000079000,0.0000075000
33,0.0000087000,0.0000084000,0.0000148000
34,0.0000151000,0.0000155000,0.0000165000
35,0.0000094000,0.0000093000,0.0000098000
36,0.0000095000,0.0000090000,0.0000107000
37,0.0000087000,0.0000080000,0.0000129000
38,0.0000083000,0.0000127000,0.0000143000
39,0.0000168000,0.0000172000,0.0000187000
40,0.0000189000,0.0000170000,0.0000110000
41,0.0000112000,0.0000103000,0.0000138000
42,0.0000177000,0.0000155000,0.0000263000
43,0.0000190000,0.0000206000,0.0000229000
44,0.0000135000,0.0000189000,0.0000226000
45,0.0000190000,0.0000229000,0.0000230000
46,0.0000351000,0.0000213000,0.0000234000
47,0.0000178000,0.0000125000,0.0000141000
48,0.0000135000,0.0000138000,0.0000143000
49,0.0000123000,0.0000128000,0.0000205000
50,0.0000236000,0.0000214000,0.0000244000
51,0.0000219000,0.0000215000,0.0000257000
52,0.0000238000,0.0000194000,0.0000243000
53,0.0000249000,0.0000265000,0.0000291000
54,0.0000267000,0.0000244000,0.0000260000
55,0.0000245000,0.0000236000,0.0000426000
56,0.0000177000,0.0000170000,0.0000193000
57,0.0000182000,0.0000168000,0.0000187000
58,0.0000187000,0.0000168000,0.0000213000
59,0.0000190000,0.0000198000,0.0000211000
60,0.0000197000,0.0000205000,0.0000228000
61,0.0000209000,0.0000212000,0.0000243000
62,0.0000240000,0.0000243000,0.0000343000
63,0.0000233000,0.0000227000,0.0000259000
64,0.0000224000,0.0000225000,0.0000236000
65,0.0000265000,0.0000243000,0.0000231000
66,0.0000234000,0.0000227000,0.0000256000
67,0.0000220000,0.0000214000,0.0000252000
68,0.0000244000,0.0000268000,0.0000303000
69,0.0000268000,0.0000265000,0.0000300000
70,0.0000278000,0.0000284000,0.0000273000
71,0.0000277000,0.0000324000,0.0000327000
72,0.0000274000,0.0000264000,0.0000322000
73,0.0000269000,0.0000269000,0.0000308000
74,0.0000280000,0.0000430000,0.0000335000
75,0.0000309000,0.0000289000,0.0000303000
76,0.0000287000,0.0000273000,0.0000371000
77,0.0000334000,0.0000282000,0.0000331000
78,0.0000253000,0.0000268000,0.0000286000
79,0.0000289000,0.0000303000,0.0000321000
80,0.0000380000,0.0000305000,0.0000324000
81,0.0000326000,0.0000330000,0.0000343000
82,0.0000295000,0.0000307000,0.0000420000
83,0.0000343000,0.0000340000,0.0000403000
84,0.0000348000,0.0000331000,0.0000334000
85,0.0000402000,0.0000333000,0.0000366000
86,0.0000311000,0.0000321000,0.0000374000
87,0.0000293000,0.0000200000,0.0000231000
88,0.0000205000,0.0000190000,0.0000225000
89,0.0000182000,0.0000189000,0.0000349000
90,0.0000320000,0.0000234000,0.0000219000
91,0.0000319000,0.0000179000,0.0000210000
92,0.0000185000,0.0000176000,0.0000207000
93,0.0000185000,0.0000179000,0.0000211000
94,0.0000273000,0.0000232000,0.0000202000
95,0.0000190000,0.0000190000,0.0000225000
96,0.0000177000,0.0000177000,0.0000210000
97,0.0000207000,0.0000201000,0.0000245000
98,0.0000220000,0.0000259000,0.0000237000
99,0.0000206000,0.0000224000,0.0000238000
100,0.0000200000,0.0000193000,0.0000228000
101,0.0000224000,0.0000236000,0.0000252000
102,0.0000205000,0.0000199000,0.0000248000
103,0.0000194000,0.0000191000,0.0000239000
104,0.0000216000,0.0000279000,0.0000334000
105,0.0000272000,0.0000236000,0.0000278000
106,0.0000212000,0.0000219000,0.0000368000
107,0.0000301000,0.0000302000,0.0000362000
108,0.0000310000,0.0000294000,0.0000310000
109,0.0000303000,0.0000374000,0.0000445000
110,0.0000514000,0.0000630000,0.0000570000
111,0.0000530000,0.0000547000,0.0000676000
112,0.0000596000,0.0000310000,0.0000501000
113,0.0000396000,0.0000314000,0.0000370000
114,0.0000322000,0.0000298000,0.0000332000
115,0.0000414000,0.0000678000,0.0000623000
116,0.0000334000,0.0000329000,0.0000359000
117,0.0000338000,0.0000523000,0.0000731000
118,0.0000612000,0.0000579000,0.0000609000
119,0.0000717000,0.0000718000,0.0000661000
120,0.0000516000,0.0000654000,0.0000671000
121,0.0000658000,0.0000657000,0.0000805000
122,0.0000699000,0.0000763000,0.0000764000
123,0.0000756000,0.0000709000,0.0000779000
124,0.0000724000,0.0000672000,0.0000684000
125,0.0000686000,0.0000857000,0.0000669000
126,0.0000660000,0.0000718000,0.0000759000
127,0.0000668000,0.0000697000,0.0000761000
128,0.0000633000,0.0000673000,0.0000778000
129,0.0000554000,0.0000499000,0.0000835000
130,0.0000616000,0.0000673000,0.0000849000
131,0.0000629000,0.0000497000,0.0000755000
132,0.0000603000,0.0000664000,0.0000706000
133,0.0000675000,0.0000615000,0.0000707000
134,0.0000651000,0.0000663000,0.0000708000
135,0.0000628000,0.0000520000,0.0000851000
136,0.0000574000,0.0000516000,0.0000696000
137,0.0000590000,0.0000828000,0.0000615000
138,0.0000330000,0.0000350000,0.0000409000
139,0.0000346000,0.0000335000,0.0000416000
140,0.0000375000,0.0000340000,0.0000386000
141,0.0000305000,0.0000324000,0.0000385000
142,0.0000409000,0.0000340000,0.0000392000
143,0.0000337000,0.0000342000,0.0000398000
144,0.0000303000,0.0000289000,0.0000340000
145,0.0000292000,0.0000292000,0.0000334000
146,0.0000294000,0.0000303000,0.0000635000
147,0.0000553000,0.0000611000,0.0000382000
148,0.0000301000,0.0000314000,0.0000495000
149,0.0000431000,0.0000333000,0.0000392000
150,0.0000364000,0.0000478000,0.0000606000
151,0.0000354000,0.0000340000,0.0000416000
152,0.0000299000,0.0000326000,0.0000664000
153,0.0000344000,0.0000319000,0.0000400000
154,0.0000372000,0.0000443000,0.0000570000
155,0.0000373000,0.0000349000,0.0000422000
156,0.0000361000,0.0000486000,0.0000400000
157,0.0000340000,0.0000414000,0.0000431000
158,0.0000648000,0.0000672000,0.0000443000
159,0.0000368000,0.0000346000,0.0000408000
160,0.0000484000,0.0000614000,0.0000670000
161,0.0000596000,0.0000370000,0.0000426000
162,0.0000743000,0.0000643000,0.0000680000
